AA.P	Alcoa Inc Pf 3.75
HKN	Hkn
HLM.P	Hillman Gr Cap 11.6
HMG	Hmg/Courtland Properties
HMTM	Russell 1000 High Momentum ETF
HNB	Herald National Bank
HNW	Pioneer Diversified High Income Trust
HRT	Arrhythmia Research Technology Inc.
HTM	U.S. Geothermal Inc.
HUSA	Houston American Energy Corp.
HVOL	Russell 1000 High Volatility ETF
HWG	Hallwood Group Inc.
HYD	High Yield Muni Index ETF
HYG	Iboxx $ Hy Corp Bond Fund
HYLD	Peritus High Yield ETF
HYMB	SPDR Nuveen S&P Hi Yld Mun Bd
HYS	Pimco 0-5 Year High Yield Corpo
IAF	Aberdeen Australia Equity Fund Inc
IAI	DJ U.S. Broker-Dealers
IAK	DJ U.S. Insurance
IAT	DJ U.S. Regional Banks
IAU	Comex Gold Trust
IBIO	Ibio
IBND	SPDR International Bond ETF
ICF	Cohen & Steers Realty Majors
ICH	Investors Capital Holdings
ICI	Optimized Currency Carry Etn
ICN	Dreyfus Indian Rupee Fund
IDI	Searchmedia Holdings
IDI.W	Searchmedia Hldg Ltd
IDLV	
IDN	Intellicheck Mobilisia
IDU	DJ U.S. Utilities
IDV	DJ Epac Dividend
IDX	Indonesia Index ETF
IEC	Iec Electronics
IEF	Barclays 7-10 Year Treasury Bond Fund
IEI	Barclays 3-7 Year Treasury Bond Fund
IEO	DJ U.S. Oil & Gas Exploration & Production Index
IEV	S&P Europe 350
IEZ	DJ U.S. Oil Equipment & Services
IF	Aberdeen Indonesia Fund
IFMI	Institutional Financial Markets
IFO	Spx Lasers
IG	Igi Laboratories
